node_1,node_2,positive_prob,weight
I1,S11,1.0,1.0
I1,S11,0.9798,1.0
I1,S11,0.9968,1.0
I1,S11,0.9384,1.0
I1,S11,1.0,1.0
I1,S12,0.5546,1.0
I1,S12,0.5898,1.0
I1,S12,0.5375,1.0
I1,S12,0.4797,1.0
I1,S12,0.5857,1.0
I1,S31,0.7052,1.0
I1,S31,0.7844,1.0
I1,S31,0.8019,1.0
I1,S31,0.8408,1.0
I1,S31,0.8194,1.0
I1,S32,0.5209,1.0
I1,S32,0.4938,1.0
I1,S32,0.5741,1.0
I1,S32,0.5283,1.0
I1,S32,0.5213,1.0
I1,S33,0.8265,1.0
I1,S33,0.9681,1.0
I1,S33,0.8465,1.0
I1,S33,0.8954,1.0
I1,S33,0.8913,1.0
I2,S11,0.8894,1.0
I2,S11,0.8079,1.0
I2,S11,0.9245,1.0
I2,S11,0.9193,1.0
I2,S11,0.8802,1.0
I2,S12,1.0,1.0
I2,S12,1.0,1.0
I2,S12,0.9777,1.0
I2,S12,1.0,1.0
I2,S12,1.0,1.0
I2,S21,0.8286,1.0
I2,S21,0.7995,1.0
I2,S21,0.864,1.0
I2,S21,0.7456,1.0
I2,S21,0.9177,1.0
I2,S22,1.0,1.0
I2,S22,1.0,1.0
I2,S22,0.9519,1.0
I2,S22,0.9821,1.0
I2,S22,1.0,1.0
I3,S12,0.7697,1.0
I3,S12,0.7269,1.0
I3,S12,0.7755,1.0
I3,S12,0.7736,1.0
I3,S12,0.8382,1.0
I3,S21,0.8988,1.0
I3,S21,0.8661,1.0
I3,S21,0.8679,1.0
I3,S21,0.8706,1.0
I3,S21,0.9232,1.0
I3,S22,0.8669,1.0
I3,S22,0.7707,1.0
I3,S22,0.7394,1.0
I3,S22,0.7998,1.0
I3,S22,0.6879,1.0
I3,S31,0.7843,1.0
I3,S31,0.9467,1.0
I3,S31,0.7202,1.0
I3,S31,0.7416,1.0
I3,S31,0.7539,1.0
I3,S33,0.8906,1.0
I3,S33,0.8759,1.0
I3,S33,0.8627,1.0
I3,S33,0.8309,1.0
I3,S33,0.8609,1.0
