node_1,node_2,positive_prob,weight
I1,S11,0.6694,1.0
I1,S11,0.7109,1.0
I1,S11,0.6665,1.0
I1,S11,0.7344,1.0
I1,S11,0.7715,1.0
I1,S12,0.8154,1.0
I1,S12,0.8355,1.0
I1,S12,0.7343,1.0
I1,S12,0.7932,1.0
I1,S12,0.8005,1.0
I1,S31,0.5655,1.0
I1,S31,0.543,1.0
I1,S31,0.5302,1.0
I1,S31,0.4383,1.0
I1,S31,0.5255,1.0
I1,S32,0.5736,1.0
I1,S32,0.6026,1.0
I1,S32,0.5848,1.0
I1,S32,0.6221,1.0
I1,S32,0.6401,1.0
I1,S33,0.9062,1.0
I1,S33,0.8538,1.0
I1,S33,0.8533,1.0
I1,S33,0.7977,1.0
I1,S33,0.877,1.0
I2,S11,0.7929,1.0
I2,S11,0.7653,1.0
I2,S11,0.788,1.0
I2,S11,0.8278,1.0
I2,S11,0.8329,1.0
I2,S12,0.6794,1.0
I2,S12,0.7472,1.0
I2,S12,0.7588,1.0
I2,S12,0.7352,1.0
I2,S12,0.8852,1.0
I2,S21,0.8979,1.0
I2,S21,0.9894,1.0
I2,S21,0.8572,1.0
I2,S21,0.8401,1.0
I2,S21,0.8335,1.0
I2,S22,0.7191,1.0
I2,S22,0.7497,1.0
I2,S22,0.7424,1.0
I2,S22,0.6863,1.0
I2,S22,0.7044,1.0
I3,S12,0.7647,1.0
I3,S12,0.8452,1.0
I3,S12,0.9053,1.0
I3,S12,0.8335,1.0
I3,S12,0.8099,1.0
I3,S21,0.8796,1.0
I3,S21,0.8789,1.0
I3,S21,0.8779,1.0
I3,S21,0.9286,1.0
I3,S21,0.9245,1.0
I3,S22,0.7995,1.0
I3,S22,0.6891,1.0
I3,S22,0.701,1.0
I3,S22,0.6342,1.0
I3,S22,0.7339,1.0
I3,S31,0.5902,1.0
I3,S31,0.6496,1.0
I3,S31,0.6678,1.0
I3,S31,0.6156,1.0
I3,S31,0.665,1.0
I3,S33,1.0,1.0
I3,S33,1.0,1.0
I3,S33,0.9814,1.0
I3,S33,0.9531,1.0
I3,S33,1.0,1.0
