node_1,node_2,positive_prob,weight
I1,S11,0.661,1.0
I1,S11,0.6242,1.0
I1,S11,0.6547,1.0
I1,S11,0.623,1.0
I1,S11,0.4889,1.0
I1,S12,0.87,1.0
I1,S12,0.8011,1.0
I1,S12,0.7905,1.0
I1,S12,0.699,1.0
I1,S12,0.7225,1.0
I1,S31,0.666,1.0
I1,S31,0.6543,1.0
I1,S31,0.728,1.0
I1,S31,0.6289,1.0
I1,S31,0.695,1.0
I1,S32,0.8222,1.0
I1,S32,0.7828,1.0
I1,S32,0.8437,1.0
I1,S32,0.72,1.0
I1,S32,0.7757,1.0
I1,S33,0.8987,1.0
I1,S33,0.9283,1.0
I1,S33,0.9049,1.0
I1,S33,0.9106,1.0
I1,S33,0.8889,1.0
I2,S11,0.7413,1.0
I2,S11,0.8452,1.0
I2,S11,0.7742,1.0
I2,S11,0.797,1.0
I2,S11,0.8309,1.0
I2,S12,0.6887,1.0
I2,S12,0.6719,1.0
I2,S12,0.7404,1.0
I2,S12,0.67,1.0
I2,S12,0.658,1.0
I2,S21,0.6097,1.0
I2,S21,0.7788,1.0
I2,S21,0.6963,1.0
I2,S21,0.6717,1.0
I2,S21,0.7508,1.0
I2,S22,1.0,1.0
I2,S22,1.0,1.0
I2,S22,0.9521,1.0
I2,S22,0.9697,1.0
I2,S22,0.9787,1.0
I3,S12,0.5765,1.0
I3,S12,0.6162,1.0
I3,S12,0.647,1.0
I3,S12,0.5754,1.0
I3,S12,0.6471,1.0
I3,S21,0.62,1.0
I3,S21,0.6434,1.0
I3,S21,0.5379,1.0
I3,S21,0.6539,1.0
I3,S21,0.5647,1.0
I3,S22,0.808,1.0
I3,S22,0.8544,1.0
I3,S22,0.8021,1.0
I3,S22,0.758,1.0
I3,S22,0.8333,1.0
I3,S31,0.7103,1.0
I3,S31,0.7021,1.0
I3,S31,0.7219,1.0
I3,S31,0.7098,1.0
I3,S31,0.7454,1.0
I3,S33,0.6598,1.0
I3,S33,0.6331,1.0
I3,S33,0.6764,1.0
I3,S33,0.7538,1.0
I3,S33,0.6947,1.0
