node_1,node_2,positive_prob,weight
I1,S11,0.9297,1.0
I1,S11,0.8552,1.0
I1,S11,0.9868,1.0
I1,S11,0.8127,1.0
I1,S11,0.8069,1.0
I1,S12,0.8076,1.0
I1,S12,0.8788,1.0
I1,S12,0.9896,1.0
I1,S12,0.9074,1.0
I1,S12,0.9448,1.0
I1,S31,0.9389,1.0
I1,S31,0.8829,1.0
I1,S31,0.8959,1.0
I1,S31,0.8363,1.0
I1,S31,0.9195,1.0
I1,S32,0.4437,1.0
I1,S32,0.5006,1.0
I1,S32,0.5294,1.0
I1,S32,0.4163,1.0
I1,S32,0.5568,1.0
I1,S33,0.5804,1.0
I1,S33,0.6649,1.0
I1,S33,0.557,1.0
I1,S33,0.5893,1.0
I1,S33,0.6259,1.0
I2,S11,0.4385,1.0
I2,S11,0.5097,1.0
I2,S11,0.4936,1.0
I2,S11,0.5334,1.0
I2,S11,0.5299,1.0
I2,S12,0.8116,1.0
I2,S12,0.9164,1.0
I2,S12,0.7614,1.0
I2,S12,0.7211,1.0
I2,S12,0.8679,1.0
I2,S21,0.6185,1.0
I2,S21,0.6001,1.0
I2,S21,0.6078,1.0
I2,S21,0.6271,1.0
I2,S21,0.5981,1.0
I2,S22,0.7251,1.0
I2,S22,0.6525,1.0
I2,S22,0.8243,1.0
I2,S22,0.5806,1.0
I2,S22,0.7124,1.0
I3,S12,0.8136,1.0
I3,S12,0.7904,1.0
I3,S12,0.8229,1.0
I3,S12,0.7854,1.0
I3,S12,0.7854,1.0
I3,S21,0.7713,1.0
I3,S21,0.8505,1.0
I3,S21,0.7698,1.0
I3,S21,0.8088,1.0
I3,S21,0.7989,1.0
I3,S22,0.8442,1.0
I3,S22,0.8455,1.0
I3,S22,0.9323,1.0
I3,S22,0.8521,1.0
I3,S22,0.8092,1.0
I3,S31,0.8413,1.0
I3,S31,0.8659,1.0
I3,S31,0.9015,1.0
I3,S31,0.9153,1.0
I3,S31,0.8923,1.0
I3,S33,0.5664,1.0
I3,S33,0.4906,1.0
I3,S33,0.6263,1.0
I3,S33,0.658,1.0
I3,S33,0.5354,1.0
