node_1,node_2,positive_prob,weight
I1,S11,1.0,1.0
I1,S11,0.9968,1.0
I1,S11,1.0,1.0
I1,S11,1.0,1.0
I1,S11,1.0,1.0
I1,S12,0.5324,1.0
I1,S12,0.6807,1.0
I1,S12,0.5983,1.0
I1,S12,0.6499,1.0
I1,S12,0.6245,1.0
I1,S31,0.7433,1.0
I1,S31,0.685,1.0
I1,S31,0.6784,1.0
I1,S31,0.7071,1.0
I1,S31,0.7657,1.0
I1,S32,0.9482,1.0
I1,S32,0.9608,1.0
I1,S32,1.0,1.0
I1,S32,0.9903,1.0
I1,S32,1.0,1.0
I1,S33,0.7473,1.0
I1,S33,0.7068,1.0
I1,S33,0.6513,1.0
I1,S33,0.7458,1.0
I1,S33,0.7324,1.0
I2,S11,0.592,1.0
I2,S11,0.6188,1.0
I2,S11,0.5116,1.0
I2,S11,0.6594,1.0
I2,S11,0.6234,1.0
I2,S12,0.8092,1.0
I2,S12,0.7954,1.0
I2,S12,0.8359,1.0
I2,S12,0.7938,1.0
I2,S12,0.7958,1.0
I2,S21,0.7894,1.0
I2,S21,0.6804,1.0
I2,S21,0.7887,1.0
I2,S21,0.8331,1.0
I2,S21,0.8473,1.0
I2,S22,0.7054,1.0
I2,S22,0.6418,1.0
I2,S22,0.6884,1.0
I2,S22,0.602,1.0
I2,S22,0.5795,1.0
I3,S12,0.7169,1.0
I3,S12,0.7566,1.0
I3,S12,0.7013,1.0
I3,S12,0.6821,1.0
I3,S12,0.6451,1.0
I3,S21,0.9693,1.0
I3,S21,0.8879,1.0
I3,S21,0.8994,1.0
I3,S21,0.9437,1.0
I3,S21,0.8992,1.0
I3,S22,0.5037,1.0
I3,S22,0.6105,1.0
I3,S22,0.4558,1.0
I3,S22,0.5748,1.0
I3,S22,0.4865,1.0
I3,S31,0.557,1.0
I3,S31,0.5617,1.0
I3,S31,0.621,1.0
I3,S31,0.6257,1.0
I3,S31,0.6824,1.0
I3,S33,0.7803,1.0
I3,S33,0.8148,1.0
I3,S33,0.8022,1.0
I3,S33,0.913,1.0
I3,S33,0.8672,1.0
