node_1,node_2,positive_prob,weight
I1,S11,0.6523,1.0
I1,S11,0.6508,1.0
I1,S11,0.5448,1.0
I1,S11,0.6141,1.0
I1,S11,0.5716,1.0
I1,S12,0.7126,1.0
I1,S12,0.7589,1.0
I1,S12,0.6776,1.0
I1,S12,0.7169,1.0
I1,S12,0.7277,1.0
I1,S31,0.7579,1.0
I1,S31,0.6899,1.0
I1,S31,0.8261,1.0
I1,S31,0.7682,1.0
I1,S31,0.7986,1.0
I1,S32,0.6552,1.0
I1,S32,0.7317,1.0
I1,S32,0.6164,1.0
I1,S32,0.7274,1.0
I1,S32,0.6981,1.0
I1,S33,1.0,1.0
I1,S33,0.9865,1.0
I1,S33,0.9395,1.0
I1,S33,1.0,1.0
I1,S33,1.0,1.0
I2,S11,0.7756,1.0
I2,S11,0.8434,1.0
I2,S11,0.7792,1.0
I2,S11,0.7156,1.0
I2,S11,0.7835,1.0
I2,S12,0.9325,1.0
I2,S12,0.9286,1.0
I2,S12,0.8442,1.0
I2,S12,0.9573,1.0
I2,S12,0.9154,1.0
I2,S21,0.5688,1.0
I2,S21,0.5662,1.0
I2,S21,0.5877,1.0
I2,S21,0.6125,1.0
I2,S21,0.5804,1.0
I2,S22,0.8235,1.0
I2,S22,0.7464,1.0
I2,S22,0.8469,1.0
I2,S22,0.7984,1.0
I2,S22,0.7909,1.0
I3,S12,0.9322,1.0
I3,S12,0.8949,1.0
I3,S12,0.9478,1.0
I3,S12,0.8691,1.0
I3,S12,0.9336,1.0
I3,S21,0.7692,1.0
I3,S21,0.9013,1.0
I3,S21,0.754,1.0
I3,S21,0.8489,1.0
I3,S21,0.8124,1.0
I3,S22,0.7952,1.0
I3,S22,0.7422,1.0
I3,S22,0.7531,1.0
I3,S22,0.6833,1.0
I3,S22,0.6885,1.0
I3,S31,0.9531,1.0
I3,S31,0.8142,1.0
I3,S31,0.8846,1.0
I3,S31,0.9177,1.0
I3,S31,0.9097,1.0
I3,S33,0.9825,1.0
I3,S33,1.0,1.0
I3,S33,0.8618,1.0
I3,S33,0.8723,1.0
I3,S33,0.7824,1.0
