node_1,node_2,positive_prob,weight
I1,S11,0.9337,1.0
I1,S11,0.9382,1.0
I1,S11,0.8739,1.0
I1,S11,0.8645,1.0
I1,S11,1.0,1.0
I1,S12,0.5234,1.0
I1,S12,0.5561,1.0
I1,S12,0.6224,1.0
I1,S12,0.6411,1.0
I1,S12,0.5753,1.0
I1,S31,0.5736,1.0
I1,S31,0.4871,1.0
I1,S31,0.5616,1.0
I1,S31,0.5438,1.0
I1,S31,0.5858,1.0
I1,S32,0.65,1.0
I1,S32,0.7262,1.0
I1,S32,0.8341,1.0
I1,S32,0.7366,1.0
I1,S32,0.767,1.0
I1,S33,0.6248,1.0
I1,S33,0.5757,1.0
I1,S33,0.638,1.0
I1,S33,0.5116,1.0
I1,S33,0.6245,1.0
I2,S11,0.8645,1.0
I2,S11,0.8071,1.0
I2,S11,0.7531,1.0
I2,S11,0.8194,1.0
I2,S11,0.7995,1.0
I2,S12,0.8252,1.0
I2,S12,0.7674,1.0
I2,S12,0.8094,1.0
I2,S12,0.7921,1.0
I2,S12,0.8669,1.0
I2,S21,0.6542,1.0
I2,S21,0.7554,1.0
I2,S21,0.6978,1.0
I2,S21,0.7647,1.0
I2,S21,0.7559,1.0
I2,S22,0.5684,1.0
I2,S22,0.4873,1.0
I2,S22,0.5138,1.0
I2,S22,0.4979,1.0
I2,S22,0.5923,1.0
I3,S12,0.7087,1.0
I3,S12,0.7188,1.0
I3,S12,0.6826,1.0
I3,S12,0.6949,1.0
I3,S12,0.6725,1.0
I3,S21,0.5754,1.0
I3,S21,0.6311,1.0
I3,S21,0.6295,1.0
I3,S21,0.6659,1.0
I3,S21,0.6322,1.0
I3,S22,0.9532,1.0
I3,S22,0.8648,1.0
I3,S22,0.9036,1.0
I3,S22,0.9633,1.0
I3,S22,0.9482,1.0
I3,S31,0.5051,1.0
I3,S31,0.5762,1.0
I3,S31,0.5102,1.0
I3,S31,0.5841,1.0
I3,S31,0.643,1.0
I3,S33,0.7269,1.0
I3,S33,0.7146,1.0
I3,S33,0.7307,1.0
I3,S33,0.7247,1.0
I3,S33,0.7495,1.0
