node_1,node_2,positive_prob,weight
I1,S11,0.5863,1.0
I1,S11,0.4753,1.0
I1,S11,0.5536,1.0
I1,S11,0.4632,1.0
I1,S11,0.4678,1.0
I1,S12,0.7667,1.0
I1,S12,0.7233,1.0
I1,S12,0.7651,1.0
I1,S12,0.6763,1.0
I1,S12,0.6087,1.0
I1,S31,0.6988,1.0
I1,S31,0.6789,1.0
I1,S31,0.738,1.0
I1,S31,0.6921,1.0
I1,S31,0.6871,1.0
I1,S32,0.6542,1.0
I1,S32,0.7192,1.0
I1,S32,0.6228,1.0
I1,S32,0.7358,1.0
I1,S32,0.6575,1.0
I1,S33,0.7393,1.0
I1,S33,0.7213,1.0
I1,S33,0.735,1.0
I1,S33,0.7267,1.0
I1,S33,0.609,1.0
I2,S11,0.6663,1.0
I2,S11,0.6036,1.0
I2,S11,0.7491,1.0
I2,S11,0.8032,1.0
I2,S11,0.7235,1.0
I2,S12,0.919,1.0
I2,S12,0.8571,1.0
I2,S12,0.9944,1.0
I2,S12,0.8463,1.0
I2,S12,0.9351,1.0
I2,S21,0.9114,1.0
I2,S21,0.9881,1.0
I2,S21,0.8817,1.0
I2,S21,0.8243,1.0
I2,S21,0.8942,1.0
I2,S22,0.6981,1.0
I2,S22,0.5348,1.0
I2,S22,0.626,1.0
I2,S22,0.6012,1.0
I2,S22,0.6262,1.0
I3,S12,0.8461,1.0
I3,S12,0.9196,1.0
I3,S12,0.8718,1.0
I3,S12,0.8866,1.0
I3,S12,0.9356,1.0
I3,S21,0.9311,1.0
I3,S21,0.8679,1.0
I3,S21,0.8087,1.0
I3,S21,0.9906,1.0
I3,S21,0.8568,1.0
I3,S22,0.6473,1.0
I3,S22,0.745,1.0
I3,S22,0.6923,1.0
I3,S22,0.738,1.0
I3,S22,0.7724,1.0
I3,S31,0.8611,1.0
I3,S31,0.9158,1.0
I3,S31,0.8787,1.0
I3,S31,0.9398,1.0
I3,S31,0.9486,1.0
I3,S33,0.6333,1.0
I3,S33,0.7264,1.0
I3,S33,0.7475,1.0
I3,S33,0.717,1.0
I3,S33,0.6666,1.0
